"","Name","Location","Started on","Notes","Region","URL","Latnum  in miles","Longnum"
"87","Loch Neaton Parkrun, Watton","Watton, Norfolk","2 Mar 2019","At Loch Neaton and Watton Sports Centre","East of England","/wiki/Watton,_Norfolk","52.5713888888889","0.825833333333333"
"88","Lowestoft Parkrun","Lowestoft, Suffolk","31 Oct 2015","Along the promenade starting at East Point Pavilion","East of England","/wiki/Lowestoft","52.4833333333333","1.75"
"89","Luton Wardown Parkrun","Luton, Beds","18 Mar 2015","At Wardown Park, starting at the boathouse and around the lake","East of England","/wiki/Luton","51.8833333333333","-0.416666666666667"
"90","Maldon Prom Parkrun","Maldon, Essex","31 Aug 2013","At Promenade Park starting at the amphitheatre and passing the statue of Byrhtnoth","East of England","/wiki/Maldon,_Essex","51.7316666666667","0.675833333333333"
"91","March Parkrun","March, Cambs","23 Jan 2016","At West End Park starting at George Campbell Leisure Centre","East of England","/wiki/March,_Cambridgeshire","52.5511111111111","0.0880555555555556"
"92","Mersea Island Parkrun","Mersea Island, Essex","17 Dec 2016","At Cudmore Grove Country Park passing the World War II pillbox","East of England","/wiki/Mersea_Island","51.7958333333333","0.94"
"93","Mulbarton Parkrun","Mulbarton, Norfolk","16 Mar 2013","At Mulbarton Common entirely on grass","East of England","/wiki/Mulbarton,_Norfolk","52.5872222222222","1.22527777777778"
"94","Norwich Parkrun","Norwich, Norfolk","7 Aug 2010","At Eaton Park entirely on hard surfaces","East of England","/wiki/Norwich","52.6","1.3"
"95","Panshanger Parkrun","Welwyn Garden City, Herts","11 Oct 2014","One lap of Panshanger Park starting at Thieves Lane","East of England","/wiki/Welwyn_Garden_City","51.8061111111111","-0.193333333333333"
"96","Pocket Parkrun","St. Neots, Cambs","16 Jun 2018","At Pocket Park starting near the leisure centre","East of England","/wiki/St._Neots","52.2333333333333","-0.266666666666667"
"97","Rickmansworth Parkrun","Rickmansworth, Herts","4 Mar 2017","Two flat laps of the aquadrome mainly on tarmac with lakes and a cafe for post run coffee","East of England","/wiki/Rickmansworth","51.6383333333333","-0.465833333333333"
"98","Roding Valley Parkrun","Loughton, Essex","14 Jan 2017","In Roding Valley Recreation Ground mostly on grass","East of England","/wiki/Loughton","51.6494444444444","0.0736111111111111"
"99","Sheringham Parkrun","Sheringham, Norfolk","3 Nov 2012","A trail run at the National Trust's Sheringham Park with views of the coast and historic parkland","East of England","/wiki/Sheringham","52.94","1.21305555555556"
"100","Sizewell Parkrun","Leiston, Suffolk","25 Aug 2018","Along the coast passed Sizewell nuclear power stations and RSPB Minsmere","East of England","/wiki/Leiston","52.2061111111111","1.57888888888889"
"101","South Oxhey Parkrun","Watford, Herts","31 Jan 2015","In South Oxhey Playing Fields entirely on grass","East of England","/wiki/Watford","51.655","-0.23"
"102","South Woodham Ferrers Parkrun","South Woodham Ferrers, Essex","10 Mar 2018","In Marsh Farm Country Park on a mixture of concrete paths, trail paths and grass","East of England","/wiki/South_Woodham_Ferrers","51.6511111111111","0.6125"
"103","Southend Parkrun","Southend, Essex","13 Oct 2012","In Gunners Park passing various gun emplacements and part of a local nature reserve","East of England","/wiki/Southend","51.5377777777778","0.713888888888889"
"104","St Albans Parkrun","St Albans, Herts","14 Jan 2012","In Verulamium Park on the former Roman city of Verulamium","East of England","/wiki/St_Albans","51.755","-0.336111111111111"
"105","Stevenage Parkrun","Stevenage, Herts","28 May 2016","At Six Hills starting between the two lakes","East of England","/wiki/Stevenage","51.9","-0.2"
"106","Swaffham Parkrun","Swaffham, Norfolk","26 May 2018","On the playing fields at Nicholas Hamond Academy","East of England","/wiki/Swaffham","52.6527777777778","0.684166666666667"
"107","Thetford Parkrun","Thetford, Norfolk","23 Feb 2013","In Abbey Meadows at Thetford priory","East of England","/wiki/Thetford","52.4166666666667","0.733333333333333"
"108","Thurrock Parkrun","Thurrock, Essex","10 Oct 2015","At Pyramid Centre all on grass","East of England","/wiki/Thurrock","51.5","0.416666666666667"
"109","Tring Parkrun","Tring, Herts","1 Nov 2014","An out and back run on grass and dirt trail at Tring Park","East of England","/wiki/Tring","51.7961111111111","-0.659166666666667"
"110","Westmill Parkrun","Ware, Herts","22 Jul 2017","At Three Lakes Campsite","East of England","/wiki/Ware,_Hertfordshire","51.8108333333333","-0.0313888888888889"
"111","Wimpole Estate Parkrun","Royston, Cambs","12 Jan 2013","A trail run at the National Trust's Wimpole Estate","East of England","/wiki/Royston,_Hertfordshire","52.0472222222222","-0.0202777777777778"
"112","Ally Pally parkrun","Alexandra Palace, Haringey","3 Dec 2011","Course has a winter route and a summer route","Greater London","/wiki/Alexandra_Palace","51.5938888888889","-0.13"
"113","Barking parkrun","Barking Park, Barking","28 Jul 2012","","Greater London","/wiki/Barking_Park","51.545","0.0880555555555556"
"114","Beckenham Place parkrun","Beckenham Place Park, Lewisham","19 Nov 2016","","Greater London","/wiki/Beckenham_Place_Park","51.415","-0.0202777777777778"
"115","Beckton parkrun","Beckton District Park South, Newham","2 Jun 2012","","Greater London","/wiki/Beckton_District_Park_South","51.5116666666667","0.0480555555555556"
"116","Bedfont Lakes parkrun","Bedfont Lakes Country Park, Hounslow","9 May 2009","","Greater London","/wiki/Bedfont_Lakes_Country_Park","51.4430555555556","-0.448888888888889"
"117","Bexley parkrun","Bexleyheath, Kent","4 Feb 2012","2 lap course, variety of path and woodland - couple of challenging inclines","Greater London",NA,"",""
"118","Brockwell parkrun","Brockwell Park, Lambeth","11 Dec 2010","","Greater London","/wiki/Brockwell_Park","51.4508333333333","-0.1075"
"119","Bromley parkrun","","29 Aug 2009","","Greater London",NA,"",""
"120","Burgess parkrun","Burgess Park, Southwark","22 Sep 2012","","Greater London","/wiki/Burgess_Park","51.4836111111111","-0.0819444444444444"
"121","Bushy parkrun","Bushy Park, Richmond","2 Oct 2004","A flat, fast 1 lap course run on a mixture of grass, gravel and concrete. The first ever parkrun worldwide","Greater London","/wiki/Bushy_Park","51.415","-0.339166666666667"
"122","Canons Park parkrun","","8 Oct 2016","","Greater London",NA,"",""
"123","Catford parkrun","","28 Apr 2018","","Greater London",NA,"",""
"124","Clapham Common parkrun","","24 Mar 2018","","Greater London",NA,"",""
"125","Crane parkrun","","9 Jun 2012","","Greater London",NA,"",""
"126","Crystal Palace parkrun","Crystal Palace Park, Bromley","29 May 2010","","Greater London","/wiki/Crystal_Palace_Park","51.4202777777778","-0.0705555555555556"
"127","Dulwich parkrun","Dulwich Park, Southwark","14 Apr 2012","","Greater London","/wiki/Dulwich_Park","51.4458333333333","-0.0786111111111111"
"128","Finsbury parkrun","Finsbury Park, Islington","31 Oct 2009","","Greater London","/wiki/Finsbury_Park","51.5711111111111","-0.100833333333333"
"129","Foots Cray Meadows parkrun","Foots Cray Meadows, Bexley","21 Jul 2018","","Greater London","/wiki/Foots_Cray_Meadows","51.4258333333333","0.127222222222222"
"130","Fulham Palace parkrun","Bishops Park, Hammersmith and Fulham","19 Oct 2013","","Greater London","/wiki/Bishops_Park","51.4705555555556","-0.216111111111111"
"131","Gladstone parkrun","","30 Jun 2012","","Greater London",NA,"",""
"132","Greenwich parkrun","","6 Mar 2010","","Greater London",NA,"",""
"133","Grovelands parkrun","","24 Jul 2010","","Greater London",NA,"",""
"134","Gunnersbury parkrun","","29 Oct 2011","","Greater London",NA,"",""
"135","Hackney Marshes parkrun","","29 May 2010","","Greater London",NA,"",""
"136","Hampstead Heath parkrun","","14 May 2011","","Greater London",NA,"",""
"137","Harrow parkrun","","9 May 2015","","Greater London",NA,"",""
"138","Harrow Lodge parkrun","","12 Jan 2013","","Greater London",NA,"",""
